hs10,hs6,품목명,상위설명,영문품목명
0101211000,010121,농가 사육용,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새 > 말 > 번식용,For farm breeding
0101219000,010121,기타,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새 > 말 > 번식용,Other
0101291000,010129,경주말,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새 > 말 > 기타,Horses for racing
0101299000,010129,기타,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새 > 말 > 기타,Other
0101300000,010130,당나귀,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새,Asses
0101900000,010190,기타,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새,Other
0102211000,010221,젖소,살아 있는 소 > 축우(畜牛) > 번식용,For milk
0102212000,010221,육우(肉牛),살아 있는 소 > 축우(畜牛) > 번식용,For meat
0102219000,010221,기타,살아 있는 소 > 축우(畜牛) > 번식용,Other
0102291000,010229,젖소,살아 있는 소 > 축우(畜牛) > 기타,For milk
0102292000,010229,육우(肉牛),살아 있는 소 > 축우(畜牛) > 기타,For meat
0102299000,010229,기타,살아 있는 소 > 축우(畜牛) > 기타,Other
0102310000,010231,번식용,살아 있는 소 > 버팔로,Pure-bred breeding animals
0102391000,010239,젖소,살아 있는 소 > 버팔로 > 기타,For milk
0102392000,010239,육우(肉牛),살아 있는 소 > 버팔로 > 기타,For meat
0102399000,010239,기타,살아 있는 소 > 버팔로 > 기타,Other
0102901000,010290,번식용,살아 있는 소 > 기타,Pure-bred breeding animals
0102909010,010290,젖소,살아 있는 소 > 기타 > 기타,For milk
0102909020,010290,육우(肉牛),살아 있는 소 > 기타 > 기타,For meat
0102909090,010290,기타,살아 있는 소 > 기타 > 기타,Other
0103100000,010310,번식용,살아 있는 돼지,Pure-bred breeding animals
0103910000,010391,중량이 50킬로그램 미만인 것,살아 있는 돼지 > 기타,Weighing less than 50 kg
0103920000,010392,중량이 50킬로그램 이상인 것,살아 있는 돼지 > 기타,Weighing 50 kg or more
0104101000,010410,번식용,살아 있는 면양과 염소 > 면양,Pure-bred breeding animals
0104109000,010410,기타,살아 있는 면양과 염소 > 면양,Other
0104201000,010420,젖염소,살아 있는 면양과 염소 > 염소,Milk goats
0104209000,010420,기타,살아 있는 면양과 염소 > 염소,Other
0105111000,010511,번식용,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다] > 중량이 185그램 이하인 것 > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다],Pure-bred breeding animals
0105119000,010511,기타,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다] > 중량이 185그램 이하인 것 > 닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다],Other
0105120000,010512,칠면조,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다] > 중량이 185그램 이하인 것,Turkeys
0105131000,010513,번식용,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다] > 중량이 185그램 이하인 것 > 오리,Pure-bred breeding animals
0105139000,010513,기타,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다] > 중량이 185그램 이하인 것 > 오리,Other
