rrdc_no,계열,참조번호,시행일자,결정세번_정규화,품명,물품설명,결정사유
0072026002409,협의회,품목분류2과-4187,2026-07-03,2923201000,LECITHIN; NatraPhos™ PL95EN PHARMA,"- 난황에서 추출한 추출물을 추가 정제(흡착, 이온교환수지 등)하고 농축한 포스파티딜콜린(Phosphatidylcholine, PC) 주성분(약 80%)의 인지질 복합물에 미량(0.2%)의 산화방지제(토코페롤)를 혼합한 황색계 과립상 - 용도 : 유화제 또는 안정화제","ㅇ 관세율표 제2923호 에는 “제4암모늄염과 수산화 제4암모늄, 레시틴과 그 밖의 포스포아미노리피드(화학적으로 단일한 것인지에 상관없다)”를 분류하며, 제2923.20-1000호에 “레시틴”을 세분류함 - 같은 호의 해설서에서 “제4암모늄염기의 가장 중요한 염과 유도체는 다음과 같다. … (중략) … (2) 레시틴(lecithin)과 그 밖의 포스포아미노리피드(phosphoaminolipid) : 이들은 글리세린인산이 올레산ㆍ팔미트산과 그 밖의 지방산과의 복합물과 콜린과 같은 유기질소염기로부터 얻어진 에스테르(ester)(인지질 : phosphatide)이다. 일반적으로 황갈색 왁스질의 괴상으로서 에탄올에 가용성이다. 레시틴(lecithin)은 알의 노른자위(오보레시틴)과 동물과 식물조직에 함유되어 있다. 또한 이 호에 포함되는 상거래 관습상의 레시틴(lecithin)은 대두 레시틴이 많으며 이는 아세톤에 녹지 않는 인지질(일반적으로 전 중량의 60%에서 70%까지)ㆍ대두유ㆍ지방산과 탄수화물의 혼합 구성물이다.”라고 설명하고 있음 ㅇ 본 물품은 난황에 함유된 인지질복합물을 흡착 및 이온교환방식의 정제공정을 통해 특정 성분(포스파티딜콜린)의 함량을 높인 것으로, 이와 같은 경우에도 제2923.20-1000호의 “레시틴”으로 분류될 수 있는지 살펴보면, - 레시틴(Lecithin)은 “주로 포스파티딜콜린, 포스파티딜에탄올아민, 그리고 포스파티딜이노시톨로 구성된 아세톤에 녹지 않는 인지질의 복합 혼합물로, 중성지방, 지방산 그리고 탄수화물과 같은 다양한 양의 다른 물질들과 결합”되어 있고, “인지질의 함량은 60%이상”이라고 국제기구의 식품첨가물 규격*에서 정의하고 있어, 해당 정의와 규격은 상기 HS해설서의 내용과도 일치함 * FAO/WHO합동 식품첨가물전문가위원회(JECFA), LECITHIN INS No. 322(i) 참조 - 즉, 레시틴 성분 중 특정 인지질의 성분(포스파티딜콜린)을 인위적으로 함량을 높였더라도, 레시틴은 인지질을 주성분으로 한 복합물로 정의한 HS해설서 및 국제기구의 식품첨가물의 정의 및 규격에서 벗어난다고 볼 수 없음 - 참고로, 레시틴의 발견 이후 포스파티딜콜린을 레시틴으로 명명(1850년, 위키피디아 참조)되었으며, 미국유지화학회 자료에서는 레시틴의 과학적인 정의를 포스파티딜콜린이라고 하고 있는 바, 레시틴의 주성분인 포스파티딜콜린 함유량을 더 높인 것은 오히려 레시틴의 특성을 더욱 강화시킨 물품으로 보는 것이 더 적합함 ㅇ 따라서, 본 물품은 난황으로부터 분리·정제한 레시틴으로 보아 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제2923.20-1000호에 분류함"
0072026002007,협의회,품목분류3과-3304,2026-06-08,6903209000,Al2O3 Tray ; Tray 4Inch(7Pocket) ; CR1RD030476-01N,"ㅇ 물품 개요 - 알루미나(Al2O3) 등을 혼합 성형 후 소결(1,645℃)한 유백색의 원반 형상의 제품으로 7개의 웨이퍼용 포켓(∅100mm)이 가공되어 있음 - (규격) 지름 340mm, 두께2.6mm, 450g, 모스경도 9이상, Al2O3 99.5% 이상, 내화도 SK36이상(1,800℃), 수분흡수율 0% - (용도) 반도체 MOCVD(유기금속 화학기상증착장비)에 장착되는 소모품으로, 웨이퍼의 위치를 일정하게 유지시켜 공정 안전성과 반복성 확보 ㅇ (제조공정) POWDER 입고 → SLURRY MIX → 스프레이 드라이(슬러리를 구형의 건조 입자로 전환) → CIP성형(고무 몰드에 넣은 형성체를 액체 압력(2000~3000 bar)으로 전방향 압축 성형체화) → Green가공(포켓 등의 일부 형상 황삭가공) → 소결(1,645℃) → Crack검사 → 두께 가공 → MCT가공 → 후처리 → 검사 → 세정 → 포장 ㅇ 기능 및 작동원리 - MOCVD 장비 Susceptor 위에 거치되며, 웨이퍼 7장을 안정적으로 고정하고 웨이퍼의 온도를 균일하고 일정하게 가열하게 함 (※MOCVD공정온도: 화주제시 자료(1,000∼1,200℃)/업계자료(500∼1,500℃)) - 로딩·언로딩 시 자동 핸들링 로봇이 Tray를 인식하여 웨이퍼를 옮기거나 다시 회수 처리함 (※ 신청물품 장착 관련 자료 미제출)","ㅇ 관세율표 제84류 주 제1호 나목에서 “도자제의 기계류(예: 펌프)와 기계류(어떤 재료라도 가능하다)의 도자제 부분품(제69류)”을 제외하도록 규정하고 있으므로, 제69류의 도자제품에 해당하는지를 우선 검토함 ㅇ 관세율표 제69류 주 제1호에서 “이 류는 성형한 후에 불에 구워서 만든 도자제품에만 적용한다.”라고 규정하고 있고, 제69류 제1절에서 “이 절에서는 점토의 함유에 상관없이 다음의 것을 분류한다. … (B) 내화제품( 제6902호 와 제6903호 ) : 즉, 야금․유리공업 등의 고온(예: 섭씨 1,500도 정도나 그 이상의 온도)에서 견디는 특수한 성질을 가지고 있는 소성(燒成)한 제품들이다.”라고 설명하면서, “(1)...소결한 알루미나를 기본 재료로 하여 제조한 고(高)알루미나성 내화제품”을 예시함 ㅇ 본건 물품은 알루미나(AL2O3) 파우더를 혼합, 성형, 소성, 정밀가공 등을 거쳐 만든 물품으로 제69류의 도자제품에 해당하므로 제84류에 분류할 수 없음 - 또한, 제16부 주 제2호에서 “기계의 부분품은 이 부의 주 제1호, 제84류의 주 제1호, 제85류의 주 제1호에 규정한 것 외에는 다음 각 목에서 정하는 바에 따라 분류한다.”라고 규정하고 있으므로 본건 물품이 제84류 주 제1호에 따라 제69류에 분류되면 제16부 주 제2호 부분품 규정은 적용하지 않음 ㅇ 관세율표 제6903호 에는 “그 밖의 내화성 도자제품[예: 레토르트(retort)ㆍ도가니ㆍ머플ㆍ노즐ㆍ플러그ㆍ서포트ㆍ큐펠(cupel)ㆍ관(管)ㆍ쉬드(sheath)ㆍ막대(rod)ㆍ슬라이드 게이트(slide gate)](규조토나 이와 유사한 규산질의 흙으로 만든 제품은 제외한다)”이 분류됨 ㅇ 본건 물품은 알루미나(Al2O3, 99.5% 이상) 분말을 성형한 후에 소결(1,645℃)하여 만든 것으로 고온(예: 섭씨 1,500도 정도나 그 이상의 온도)에서 견디는 성질을 가지고 있을 뿐만 아니라 실제로 고온 환경(1,000∼1,200℃)의 MOCVD 장비에 사용되는 물품이므로 내화성 도자제품에 해당함 ㅇ 따라서, 본건 물품은 알루미나로 만든 그 밖의 내화성 도자제품으로 보아 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제6903.20-9000호에 분류함"
0072026002018,협의회,품목분류3과-3309,2026-06-08,3917399000,고순도 제약용 호스 어셈블리; TXS,"ㅇ 실리콘(Silicone) 재질의 호스 또는 PTFE(Polytetrafluoroethylene) 재질의 호스로서, 양 끝단에는 스테인리스 스틸 연결구가 부착됨 - (용도) 유체 이송(배지, 약액, 최종원액 등)용으로 제약(백신) 제조공정*의 여러 장비**에 연결되어 사용됨 * 세포에서 항체를 만들고, 불순물과 바이러스를 제거한 뒤 농축‧조성 조정을 거쳐 최종 용기에 무균 충전하는 공정 ** Chromatography skid, Virus filter skid, UF/DF skid, Filling station TXS : 약 길이 1,100㎜, 직경 45㎜, 파열압 2.52 ～ 4.00(㎫), PTFE 재질, 스테인리스 스틸 와이어로 보강됨 ※ 제조사 홈페이지: “식품, 생명공학, 제약 및 화장품 산업에 초위생적인 환경에 이상적”","- 제16부 총설에서 “다른 부에 보다 구체적으로 열거한 물품을 제외한 여러 가지의 기계류와 전기기기와 이들의 부분품과 기계식이나 전기식이 아닌 특정의 장치와 설비(예: 보일러․보일러의 부속기기와 여과용 기기 등)와 그 부분품을 포함한다.” 라고 규정하고 있음 - 본 물품이 제16부의 분류에 우선하여 제7부 ( 제3917호 )에 분류되는지 우선 검토하는 것이 타당함 - 관세율표 제39류 주 제8에서 “ 제3917호 의 관ㆍ파이프ㆍ호스란 보통 가스나 액체를 운반하는 데 사용되는 중공(中空)의 제품(반제품이나 완제품인지에 상관없다)을 말하며[예: 골이 진(ribbed) 정원용 호스ㆍ구멍이 뚫린 관], … 다만, 내부 횡단면의 모양이 원형ㆍ타원형ㆍ직사각형(길이가 폭의 1.5배를 초과하지 않은 것으로 한정한다)이나 정다각형의 모양이 아닌 것은 관ㆍ파이프ㆍ호스로 볼 수 없고 형재(形材)로 본다[…].”라고 규정하고 있음 - 본건 물품은 액체를 운반하는데 사용하는 원형의 횡단면을 가진 중공 제품에 해당하므로, “관ㆍ파이프ㆍ호스” 정의를 충족함 - 관세율표 제3917호 에 “플라스틱의 관·파이프·호스와 이들의 연결구류[예: 조인트(joint)·엘보(elbow)·플랜지(flange)]”가 분류되고, - 같은 호 해설서에 “이 호에는 관ㆍ파이프ㆍ호스 등 플라스틱으로 만든 연결구류도 포함한다.[예: 조인트(joint)ㆍ엘보(elbow)ㆍ플랜지(flange)]. 관ㆍ파이프ㆍ호스와 이들의 연결구류는 경질(rigid)이나 연질(flexible)의 것으로서 그 밖의 재료로 보강ㆍ결합한 것도 있다.” 고 설명하고 있음 - 본 물품은 양 끝단에 연결구류가 결합된 유체 이송용 플라스틱으로 만든 관ㆍ파이프ㆍ호스에 해당하므로, 관세율표 해석에 관한 통칙 제1호 및 제6호에 따라 제3917.39-9000호로 분류함"
0072026002025,협의회,품목분류4과-1929,2026-06-08,4412317090,BOBBIN FLANGE(550×520㎜),"양쪽 외면 플라이(두께 0.1∼0.2㎜)는 열대산 목재(제시수종: Bintangor)이며 중간층(각 플라이의 두께 0.5∼3.0㎜)의 배열이 서로 평행한 부분과 직각인 부분이 혼재되도록 적층한 약 11개의 플라이를 가진 사각형 모양 합판의 네 모서리를 트리밍하여 팔각형으로 가공하고, 가운데 부분에 지름 약 185㎜의 구멍이 있는 물품(두께: 17.5㎜, 크기: 550×520㎜) - 용도: 롤상의 필름 운송시 중심축 양 끝단에 부착하여 필름의 보호, 고정","ㅇ 관세율표 제4412호 에 “합판ㆍ베니어패널과 이와 유사한 적층 목재”가 분류되며, 소호 제4412.31호 에 “그 밖의 합판[각 플라이(ply)가 6밀리미터 이하의 목재 시트(sheet)만으로 구성된 것으로 한정하며, 대나무로 만든 것은 제외한다] : 적어도 한쪽 외면의 플라이(ply)가 열대산 목재인 것”이 분류됨 ㅇ 제44류 주 제4호에 “ 제4410호 ㆍ 제4411호 ㆍ 제4412호 의 물품은 제4409호 에서 규정한 모양으로 가공한 것, 굽은 것(curved), 물결모양으로 한 것(corrugated), 구멍을 뚫은(perforated) 것, 정사각형이나 직사각형 외의 모양으로 절단하거나 성형한 것, 그 밖의 가공을 한 것으로서 따로 열거한 물품의 특성을 갖고 있지 않은 것으로 한정한다.”라고 규정하고 있고 - 또한 제4412호 해설서에 “이 호의 물품은 제4409호 의 물품의 모양으로 가공하였는지와 굽은 것(curved)ㆍ물결 모양으로 한 것(corrugated)ㆍ구멍을 뚫은 것(perforated)ㆍ절단한 것이나 정사각형이나 직사각형 이외의 형태로 만들었는지와 표면ㆍ가장자리ㆍ마구리의 처리ㆍ도포ㆍ피복[예: 직물ㆍ플라스틱(plastic)ㆍ페인트(paint)ㆍ종이ㆍ금속]하였거나 그 밖의 다른 가공을 거쳤는지에 상관없이 이 호에 분류한다. 다만, 이러한 가공이 다른 호의 본질적인 특성을 부여하지 않는 경우로 한정한다.”라고 설명하고 있음 ㅇ 본 물품은 직사각형 모양인 합판의 모서리를 트리밍하여 팔각형으로 가공하고, 가운데 부분에 원형의 구멍을 뚫은 것으로서, 이러한 가공은 모두 제4412호 합판에서 허용하는 가공이며, - 케이블드럼이나 보빈의 '단'처럼 필름을 감을 때 사용되는 것이 아니라 이미 감겨진 필름의 축 끝단에 추가적으로 부착하여 필름의 운송시 보호, 고정용으로 사용되는 물품이므로 '단'에 해당되지 않음 ㅇ 따라서, 본 물품은 각 플라이(ply)가 6밀리미터 이하의 목재 시트만으로 구성된 합판으로 외면의 플라이가 열대산 목재(관세율표 제44류 국내주 제1호의 열대산 목재에는 해당되지 않음)이며 전체 두께가 15밀리미터 이상인 것으로써, 다른 호의 본질적인 특성을 부여하지 않는 물품이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제4412.31-7090호에 분류함"
0072026001418,협의회,품목분류3과-3046,2026-05-21,4002110000,"Carboxylated styrene-butadiene latex, in primary forms; KSL 152","ㅇ 물품개요 - 카르복시화한 스티렌-부타디엔 라텍스의 유백색 점조액상 - (성분) 물 60%, Methylenebutanedioic acidpolymer with 1,3-butadiene, ethenylbenzene, methyl 2-methyl-2-propenoate and 2-propenoic acid 40% - (단량체 중량비) 부타디엔 33%, 스티렌 57%, MMA 6%, 이타콘산 3%, 아클릴산 1% (업체 제시자료) - (제조공정) 단량체+유화제+개시제 → 유화중합 → 미반응 단량체 회수 → 농축 및 여과 → 포장 - (용도) 리튬이온전지의 음극용 접착제(바인더)","- 관세율표 제39류 주2 카목에서 “제40류의 합성고무나 이들의 제품”은 제외하도록 규정하고 있으므로, 제40류 해당 여부를 우선 검토함 - 관세율표 제40류 주 제4호 가목에서 “이 류의 주 제1호와 제4002호 에서 ‘합성고무’란 황으로써 가황하여 비열가소성 물질로 변형되어 원상태로의 회복이 불가능하게 되고, 섭씨 18도와 29도 사이의 온도에서 원래의 길이의 3배로 늘려도 끊어지지 않고, 원래의 길이의 2배로 늘린 후 5분 이내에 원래의 길이의 1.5배 이하로 되돌아가는 불포화 합성물질(이 시험에서 가황활성제나 가황촉진제와 같은 가교에 필요한 물질이 첨가되어질 수 있다. …)의 것”이라고 규정하고 있음 - 본 물품은 분석 결과 일정한 신장률(3.86배)과 복원력(원래 길이의 1.5배 이하) 특성을 가진 물품으로, 제40류 주 제4호의 ‘합성고무’에 해당함 - 관세율표 제4002호 에 ""합성고무와 기름에서 제조한 팩티스(factice)[일차제품(primary form)ㆍ판ㆍ시트(sheet)ㆍ스트립 모양으로 한정한다], 제4001호 의 물품과 제4002호 의 물품과의 혼합물[일차제품(primary form)ㆍ판ㆍ시트(sheet)ㆍ스트립 모양으로 한정한다]""이 분류되고, - 제4002.1호에는 ""스티렌-부타디엔 고무(SBR)ㆍ카르복시화한 스티렌-부타디엔 고무(XSBR)"", 제4002.11호 에는 “라텍스”를 세분류하고 있음 - 같은 호 해설서에서 ""합성고무에는 합성고무 라텍스[프리벌커나이즈드(pre-vulcanised)한 것인지에 상관없다]와 그 밖의 일차제품(primary form) 모양의 합성고무ㆍ판(plate)ㆍ시트(sheet)ㆍ스트립(strip) 모양의 합성고무를 포함한다.""라고 설명하고 있음 - 따라서 본 물품은 일차제품 모양의 카르복시화한 스티렌-부타디엔 라텍스이므로, 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제4002.11-0000호로 분류함"
0072026001133,협의회,품목분류3과-2106,2026-04-02,7307210000,"STAINESS ROUND ; 2종 (① F30420SHR100, ② F30420SHR100)","ㅇ 스테인리스 재질의 일정한 외경·내경·두께 및 중앙 홀을 갖춘 링 형상 물품으로, 수입 후 정밀(CNC) 가공, 볼트 홀 가공을 거쳐 플랜지로 완성 - (재질 Grade) A182 F304*, (압력등급) 20K * 배관 계통의 플랜지, 피팅, 밸브류 등 압력 부품에 대한 재질/단조 규격 ㅇ 본 물품은 플랜지 제조용으로서, 수입 전량 플랜지 제조용 회사에 납품되며, 완성된 플랜지는 KS 규격에 적합한 형태임 ㅇ 제조공정 ① F30420SHR100 : 스테인리스강제 봉을 절단, 특정 형상으로 단조된 물품으로, 표면 단차 있음 - (제시상태) 외경 231, 내경 110, 두께 40(㎜) ⇒ (완성 후) 외경 225, 내경 115.9, 두께 36(㎜) ② F30420SHR100 : 스테인리스강제 봉을 절단, 특정 형상으로 단조, 표면 가공(황삭 가공)한 물품으로, 표면 단차 있음 - (제시상태) 외경 226, 내경 115, 두께 37(㎜) ⇒ (완성 후) 외경 225, 내경 115.9, 두께 36(㎜)","- 관세율표의 해석에 관한 통칙 제2호 가목에서는 “각 호에 열거된 물품에는 불완전한 물품이나 미완성된 물품이 제시된 상태에서 완전한 물품이나 완성된 물품의 본질적인 특성을 지니고 있으면 그 불완전한 물품이나 미완성된 물품이 포함되는 것으로 본다.”고 규정하고 있고, - 통칙 제2호 해설에서 “이 통칙의 규정은 특정한 호에 열거하지 않은 반가공품(blank)에도 적용한다. “반가공품(blank)”이란 직접 사용할 수 있는 물품이 아니라 완성한 물품이나 부분품의 대체적인 모양이나 윤곽을 갖추고 있는 물품으로서 예외적인 경우를 제외하고는 오직 완성한 물품이나 부분품으로 완성하기 위하여만 사용될 수 있는 물품을 말한다.”라고 해설하고 있음 - 본 물품은 제시된 상태에서 직접 사용할 수 없고, 완성된 물품(플랜지)의 대체적인 윤곽을 갖추고 있으며, 재질(A182 F304), 압력 등급(20K), 삽입되는 배관의 직경, 추가 공정 등을 고려할 때 특정 규격의 플랜지로 완성하기 위해서만 사용된다고 판단되므로, 플랜지의 반가공품(blank)에 해당되어 완성된 “플랜지”로 분류함 - 관세율표 제7307호 에는 “철강으로 만든 관(管) 연결구류[예: 커플링(coupling)ㆍ엘보(elbow)ㆍ슬리브(sleeve)]”가, 제7307.21호 에는 “스테인리스강으로 만든 플랜지”가 분류되고, - 같은 호 해설서에서 “단조(鍛造)된 칼라(collar)를 갖춘 평판 플랜지(flat flange)와 플랜지(flange)”를 예시하고 있음 - 따라서, 본건 물품은 관세율표의 해석에 관한 통칙 제1호, 통칙 제2호 가목 및 제6호에 따라 제7307.21-0000호로 분류함"
0072026000740,협의회,품목분류4과-944,2026-03-04,8421219090,ASSY FILTER; DC97-16498B,"- 세탁기 내부에 설치되는 필터로 플라스틱 하우징에 스테인리스강 소재의 Mesh가 결합된 일체형 구조로 되어 있는 물품 - 작동 원리 : 세탁조 회전 시 발생하는 수류에 의해 밸브가 열리면서 필터 내부로 들어온 이물질이 걸러지고 물은 빠져나감 - 특징 : 세탁조 내부에 Hook 구조로 탈부착이 가능하며 하우징을 열어 포집된 이물질을 제거할 수 있음 - 규격 : 64mm 가로 x 191.2mm 세로, 무게 72g","ㅇ 관세율표 제8421호 에 “원심분리기(원심탈수기를 포함한다), 액체용이나 기체용 여과기나 청정기”이 분류되며, 소호 제8421.2호에 “액체용 여과기나 청정기”를 세분류하고 있음 - 같은 호 해설서에서 “(II) 액체용이나 기체용 여과기나 청정기 - 이 호에 분류하는 여과용이나 청정용 장치는 가동 부분이 없이 전적으로 정지장치로 된 것이 많다. 이 호에는 모든 형[물리식ㆍ기계식ㆍ화학식ㆍ자석식ㆍ전자식(電磁式)ㆍ정전식(靜電式) 등]의 여과기와 청정기를 포함한다. 또한 이 호에는 모든 거대한 공업용 장치뿐만 아니라 내연기관용 여과기와 소형의 가정용 기구도 포함한다. 그러나 여과용 깔때기(filter funnel)ㆍ밀크 여과기ㆍ탱크 등으로서 단순히 금속망이나 그 밖의 여과용 물질을 갖춘 것은 제외하며, 또한 다용도 용기ㆍ탱크 등으로서, 예를 들면, 자갈ㆍ모래ㆍ목탄 등을 적층 모양으로 넣어 여과기로 사용하는 것도 제외한다.”고 설명하면서, - ‘(A) 액체용 여과기(filtering machinery)와 청정기(purifying machinery)[연수기(water softener)를 포함한다]’를 “이 그룹의 액체용 여과기는 예를 들면, 액체를 다공성물질의 판ㆍ막이나 덩어리[예: 포(cloth)ㆍ펠트ㆍ철망ㆍ판ㆍ석제품ㆍ도자기ㆍ키절구어(kieselguhr)ㆍ소결(燒結)합금의 가루ㆍ석면ㆍ펄프ㆍ셀룰로오스ㆍ목탄ㆍ수탄이나 모래]에 통과시켜 고체모양ㆍ지방모양ㆍ콜로이드모양의 분자를 분리시킨다. …중략… 이 호에는 중력식ㆍ흡인식(또는 진공식)이나 가압식의 액체용 필터도 포함한다.”라고 해설하고 있음 ㅇ 관세율표 제8421호 에서 액체의 종류에 따라 소호를 구분하고 있으며, 본 물품은 물을 사용하는 세탁기에 장착되는 필터로 세탁수에 포함된 잔여물이나 섬유 찌꺼기 등을 걸러내는 여과기에 해당함 ㅇ 따라서, 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제8421.21-9090호에 분류함"
0072025004996,협의회,품목분류4과-165,2026-01-15,6006310000,"100% POLYESTER KNITTED FUSIBLE INTERLINING ①JVBQ409 OW, 60"" WIDTH","ㅇ 물품개요 - 합성섬유로 편직한 백색계 위편직물(일면에 무색투명한 열가소성 수지의 작은 입자를 무작위로 도포하였으나 육안으로 판별할 수 없음, 폭 30cm초과, 탄성사나 고무사를 포함하지 않음) - 용도 : 의류용 심지","ㅇ 관세율표 제6006호 에 ""그 밖의 메리야스 편물이나 뜨개질 편물""이 분류되며, 소호 제6006.31호 에 ""합성섬유로 만든 표백하지 않은 것이나 표백한 것""을 세분류하고 있음 ㅇ 관세율표 제59류 주 제2호 가목에 “1)침투ㆍ도포하거나 피복한 것을 육안으로 판별할 수 없는 직물류(일반적으로 제50류부터 제55류까지ㆍ제58류ㆍ제60류로 분류하며, 이 경우 색채의 변화를 고려하지 않는다)”라고 규정하고 있음 - 본 물품은 백색계 편물 일면에 무작위로 도포하여 부착된 작은 입자가 육안으로 확인되지 않으므로 제5903호 에 분류할 수 없음 ㅇ 따라서, 본 물품은 합성섬유로 만든 백색계 위편직물로 폭 30cm를 초과하며 탄성사나 고무실을 포함하지 않으므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제6006.31-0000호에 분류함"
0072025005512,협의회,품목분류3과-201,2026-01-15,8544422090,IRIS Camera CABLE 1.2m with Holder; UL2725 28*1P+26*2C+AL+32B OD3.5 블랙 PVC 1.2m;,"ㅇ 물품 개요 - 플라스틱으로 피복된 전선 양 끝단에 접속용 커넥터가 부착되어 있는 물품 (길이: 1.2 m) - 용도 : 홍채인식카메라(IRIS Camera)와 전산 기기(투표기*)를 연결하는 절연전선으로, 홍채인식 신호와 홍채 이미지 데이터 전송 * 투표기 : 중앙 서버에 저장되어 있는 선거인 명부의 홍채 이미지를 조회하여 홍채인식 카메라의 이미지를 통해 투표권자임을 확인(사용자의 필요에 따라 프로그램 자유롭게 작성 불가) - 구성 요소 : USB 플러그(전산 기기 연결부), PVC 케이블, GH1.25단자 커넥터(홍채인식 카메라 연결부)","ㅇ 관세율표 제8544호 에는 “절연 전선ㆍ케이블(동축케이블을 포함한다)과 그 밖의 전기절연도체(이것은 접속자가 부착된 것인지에 상관없다)”가 분류되고, 제8544.42-2090호에는 기타의 플라스틱 절연전선이 세분류됨 ㅇ HSK 결정에 있어 2002년도 제1회 관세품목분류위원회 결정에 따르면 “IT협정에 따라 관세율표에 수용한 전기통신용기기” 상호간을 연결하는 통신용 케이블을 전기통신용 절연전선으로 결정한 바, - 전기통신용 절연전선은 IT협정에 따라 관세율표에서 제8517호 로 분류되는 기기 상호간을 연결하는 케이블이므로, 본건 케이블의 양단 상호 물품인 홍채인식 카메라와 투표기가 “IT협정에 따라 관세율표에 수용한 전기통신용기기( 제8517호 )”인지 검토해보면 - 홍채인식 카메라는 제8525호 에 분류되므로 IT협정에 따라 관세율표에 수용한 전기통신용기기가 아니며, 투표기 또한 제8472호 에 분류되므로 IT협정에 따라 관세율표에 수용한 전기통신용기기가 아님 - 참고로 2002년도 제1회 관세품목분류위원회에서도 관세율표상 전기통신용장비가 아닌 일반적인 기기, 즉 ‘컴퓨터와 PC카메라의 연결선’, ‘컴퓨터 주변기기 등을 통한 디지털 이미지, 각종 통신자료를 PC에 연결시켜 주기 위한 케이블’을 전기통신용이 아닌 기타의 절연전선으로 결정한 바 있음 ㅇ 즉, 본 물품은 관세율표상 전기통신용 기기가 아닌 일반적인 기기인 홍채인식 카메라와 투표기 상호간을 연결하는 절연전선이며, - 또한 홍채인식 카메라로부터 투표기에 전달되는 신호는 단순 홍채 이미지 데이터의 입력으로 전기통신용의 절연전선으로 볼 수 없음 ㅇ 따라서 양단에 접속자가 부착된 기타의 플라스틱 절연전선이므로 관세율표 해석에 관한 통칙 제1호 및 제6호에 따라 제8544.42-2090호에 분류함"
0072026000111,협의회,품목분류2과-218,2026-01-13,0506902000,Undenatured Type Ⅱ Collagen Powder,"ㅇ 물품개요 - 저온에서 수분을 제거한 닭가슴 연골을 분쇄하고 염화칼륨을 혼합한 후 다시 수분을 제거한 미황색 분말 * 수분 제거와 분쇄시 온도 : 4.5℃, 염화칼륨 혼합과 이후 수분 제거시 온도 : 43℃ 미만 - 용도 : 건강기능식품 원료 - 제시성분 : 닭가슴 연골 68%, 염화칼륨 32%","ㅇ 관세율표 제0506호 에는 “뼈와 혼코어(horn-core)[가공하지 않은 것, 탈지(脫脂)한 것, 단순히 정리한 것(특정한 형상으로 깎은 것은 제외한다), 산(酸)처리를 하거나 탈교한(degelatinised) 것], 이들의 가루와 웨이스트(waste)”를 분류하며, 제0506.90-2000호에 “뼛가루”를 세분류하고 있음 - 같은 호 HS해설서에 “(3) 산(酸)처리된 뼈, 즉, 염산에 의하여 석회질의 부분이 용해되고 본래의 모양을 잃어버리지 않고 단지 용이하게 젤라틴으로 변할 수 있는 세포조직과 연골부분(오세인)만을 유지하고 있는 뼈, (5) 뼛가루와 뼈 웨이스트(waste)(잘게 부순 뼈를 포함한다)(예: 뼈 가공할 때 생기는 것)”를 예시하고 있음 - 석회질이 제거되고 세포조직과 연골성분만을 유지하고 있는 뼈도 분류하도록 설명하고 있으므로 뼈와 붙어 있는 연골도 뼈의 일부로 보아야 함 ㅇ 따라서, 본 물품은 연골을 저온에서 건조하고 분말화한 후 변형없이 안정화되도록 염화칼륨을 혼합한 물품이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 의하여 제0506.90-2000호에 분류함."
