rrdc_no,계열,참조번호,시행일자,결정세번_정규화,품명,물품설명,결정사유
0072022002882,품목분류사례,품목분류2과-19388,2022-08-24,0710220000,"Frozen kidney beans, blanched; FROZEN BOILED KIDNEY BEAN",녹색 꼬투리가 붙어있는 미성숙한 강낭콩류(학명: Phaseolus vulgaris L.)를 블랜칭하여 냉동한 것을 수지제 팩에 포장한 것(내용량: 500g) - 용도: 가열하여 섭취하는 냉동 살균 제품 ※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음,"ㅇ 관세율표 제0710호 에는 “냉동채소(조리하지 않은 것이나 물에 삶거나 쪄서 조리한 것으로 한정한다)”가 분류되며, 제0710.22호 에 “채두류(꼬투리가 있는지에 상관없다) 중 콩[비그나(Vigna)속ㆍ파세러스(Phaseolus)속)]”을 세분류하고 있음 ㅇ 또한 제0708호 해설서에 “(2) 콩[파세러스(Phaseolus)종ㆍ비그나(Vigna)종)] : 이것들에는 리마(Lima)콩이나 버터콩(butter bean), 녹두, 꼬투리를 식용에 쓸 수 있는 콩(예: 강남콩ㆍFrench콩ㆍrunner콩ㆍstring콩ㆍwax콩이나 snap콩)과 동부콩(black eye를 포함한다)이 포함된다”를 설명하고 있음 ㅇ 따라서 본 물품은 미성숙한 강낭콩(학명 : Phaseolus vulgaris L.)을 꼬투리째 블랜칭하여 냉동한 것이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호의 규정에 따라 제0710.22-0000호에 분류함"
0072023001775,품목분류사례,품목분류2과-27177,2023-05-22,1006301000,"Nonglutinous rice, partially steamed; ZEEBA STEAMED RICE",쌀 내부의 전분입자의 모양이 중심부까지 완전히 파괴되지 않고 부분적으로 호화된 낱알상의 멥쌀 (＊분석결과는 제시된 시료에 한함) - 용도 : 식용 ※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음,"ㅇ 관세율표 제1006호 에는“쌀”을 분류하고 있으며, 소호 제1006.30호 에는“정미(연마ㆍ광택 여부에 상관없다)”를 세분류하고 있음 - 같은 호 해설서에서 “(b) 반숙미 : 이것은 아직 껍질이 있는 상태에서 다른 가공(예: 탈곡ㆍ정미ㆍ연마)을 하기 전에 뜨거운 물에 적시거나 증기로 쪄서 건조시킨 것이다. 반숙공정의 특정단계에서 쌀은 압력 하에서 처리되거나 완전 혹은 부분적인 진공처리되기도 한다. 반숙미의 곡물구조는 처리공정 과정에서 미소하게 변성될 뿐이다”라고 설명하고 있음 ㅇ 또한, 「관세법 제85조에 따른 품목분류의 적용기준에 관한 규칙(기획재정부령 제884호, 2021.12.31.)」[별표] 제21호에서 ‘찌거나 삶은 곡물(관세율표상의 곡물을 말하며, 옥수수는 제외한다)’에 대해 ""1) 찌거나 삶은 곡물의 단면을 전자현미경으로 관찰할 때 곡물 내부에 있는 전분입자의 모양이 중심부까지 완전히 파괴된 것, 2) X-선 회절분석(回折分析)시 생 곡물의 결정구조가 비결정질로 변형된 것을 모두 충족하는 경우 품목번호 제1904호 에 분류한다”라고 규정하고 있으나, - 본 물품은 곡물 내부에 있는 전분입자의 모양이 중심부까지 완전히 파괴되지 않은 것으로 상기 규칙의 모든 요건을 충족하지 않는 물품임 ㅇ 따라서, 본 물품은 쌀 내부의 전분입자가 완전히 변형되지 않은 낱알상의 멥쌀이므로 관세율표 해석에 관한 통칙 제1호와 제6호에 따라 제1006.30-1000호에 분류함"
0072025005182,품목분류사례,품목분류2과-6927,2025-11-26,1211901999,Dried catnip; 쥬아펫 캣티 캣닢 분태;,o 캣닙(학명: Nepeta cataria)을 건조하여 분쇄한 것을 플라스틱 용기에 포장한 것(내용량: 20g) - 용도 : 고양이의 스크래쳐 등에 뿌려 향을 맡게하여 스트레스 관리에 사용 ※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음,"o 관세율표 제1211호 에는 “주로 향료용ㆍ의료용ㆍ살충용ㆍ살균용과 그 밖에 이와 유사한 용도에 적합한 식물과 그 부분(종자와 과실을 포함하고, 신선한 것ㆍ냉장한 것ㆍ냉동한 것ㆍ건조한 것에 한정하며, 절단하거나 잘게 부순 것인지 또는 가루로 된 것인지에 상관없다)”이 분류되며, - 같은 호 HS해설서에서 “이 호에는 주로 향료용ㆍ의료용ㆍ의약용ㆍ살충용ㆍ살균용ㆍ구충용이나 이와 유사한 목적에 사용하는 종류의 식물성 생산품을 분류한다. 이들은 원형의 식물ㆍ이끼ㆍ지의류(地衣類)나 그 부분[목질ㆍ나무껍질ㆍ뿌리ㆍ줄기ㆍ잎ㆍ꽃ㆍ꽃잎ㆍ과실ㆍ종자( 제1201호 부터 제1207호 까지에 분류하는 채유용의 종자와 열매는 제외한다)]이나 주로 기계적인 처리에 의하여 생기는 웨이스트(waste)의 형태인지에 상관없다. 이들은 신선한 것ㆍ냉장한 것ㆍ냉동한 것ㆍ건조한 것ㆍ원상의 것ㆍ절단한 것ㆍ파쇄한 것ㆍ분쇄한 것ㆍ가루(powder)로 한 것ㆍ비벼서 뭉개 것ㆍ껍질을 제거한 것(적합한 경우)이라도 이 호에 분류한다.”라고 설명하고 있음 o 따라서, 본 물품은 캣닙을 건조하여 분쇄한 것이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제1211.90-1999호에 분류함"
0072023001055,품목분류사례,품목분류2과-25573,2023-03-21,1401900000,Vegetable materials of a kind used primarily for plaiting: WILLOW STICKS,"ㅇ 말피기아목(Malpighiales) 버드나무과(Salicaceae) 식물인 수양버들(Salix babylonica L.) 가지의 껍질을 제거하고 절단, 세척, 건조한 것 - 용도 : 디퓨저 발향용 우드스틱 ※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음","ㅇ 관세율표 제1401호 에는 ‘편조물(編組物)에 주로 사용되는 식물성 재료[예: 대나무, 등나무, 갈대, 골풀, 버드나무 가지(osier), 라피아(raffia), 청정·표백·염색한 곡물의 짚과 라임나무(lime) 껍질]”가 분류되며, - 같은 호 해설서에서 “이 호에는 주로 매트(mats)ㆍ매트지(matting)ㆍ쟁반ㆍ모든 종류의 바구니[과실ㆍ채소ㆍ굴(oyster) 등을 포장하는 바구니를 포함한다]ㆍ뚜껑있는 광주리(hampers)ㆍ여행용 가방ㆍ가구(예: 의자와 책상)ㆍ모자 등을 결합하거나 편조하여 제조하는데 사용하는 종류의 식물성 편조물용 재료를 분류한다. 또한 이 같은 원재료는 브러시ㆍ우산 손잡이ㆍ지팡이ㆍ낚싯대ㆍ관(pipe)의 축ㆍ조잡한 로프 등의 제조와 종이 펄프의 제조나 침대 속으로 사용될 수 있다.”라고 설명하고 있음 - 또한, “이 호에 해당되는 식물성 편조물(編組物)의 재료는 세척한 것인지에 상관없으며, 미가공한 것ㆍ스트립 모양으로 쪼갠 것ㆍ껍질을 벗긴 것ㆍ광택을 낸 것ㆍ표백한 것ㆍ염색하기 위하여 조제한 것ㆍ염색한 것ㆍ바니시한 것ㆍ래커 칠한 것ㆍ불연성(不燃性)으로 처리한 것을 포함한다. 이 호의 물품은 끝을 둥글게 하였는지에 상관없으며(음료수 빨대 제조용 짚ㆍ낚싯대 제조용의 줄기ㆍ염색용 대나무 등) 일정한 길이로 절단한 것과 포장ㆍ저장ㆍ수송의 편의를 위하여 가볍게 만든 여러 가지로 된 묶음과 다발(hanks)이 포함된다.”라고 설명하고 있음 ㅇ 따라서, 본 물품은 버드나무 가지의 껍질을 벗겨 일정 단위로 절단한 것으로서‘편조물에 주로 사용되는 식물성 재료’에 해당하므로 관세율표의 해석에 관한 통칙 제1호와 제6호에 따라 제1401.90-0000호에 분류함"
0072023003786,품목분류사례,품목분류2과-31888,2023-10-23,1517909000,Preparation of edible oil; RTG OMEGA-3 1400 PREMIUM,"에스테르화 및 리에스테르한 어유(멸치)에 비타민 E(0.5% 초과), 비타민 D를 혼합·조제한 미황색 오일상을 캡슐에 충전시킨 것을 블리스터 포장하여 지제박스에 소매포장한 것(내용량: 252g, 1,400mg x 180캡슐)(비타민 E 0.5% 초과) - 용도: 식용 ※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음.","ㅇ 관세율표 제1517호 에는 ＂마가린, 동물성ㆍ식물성ㆍ미생물성 지방이나 기름 또는 이 류의 다른 지방이나 기름의 분획물로 만든 식용 혼합물이나 조제품( 제1516호 의 식용 지방이나 기름 또는 이들의 분획물은 제외한다)＂이 분류되며, - 같은 호 HS해설서에서는 “이 호의 물품은(이것의 지방이나 기름은 사전에 수소가 첨가된 것도 있다) 유화(emulsification)(예: 탈지분유로서)ㆍ교반ㆍ구조의 조정(조직이나 결정 구조를 조정한) 등으로 행할 수 있고, 레시틴ㆍ전분ㆍ착색제ㆍ향미료ㆍ비타민ㆍ버터나 유지방이 소량 첨가될 수 있다[이 류의 주 제1호다목의 제한을 전제로 하여]. 또한 이 호에는 단일한 지방과 기름이나 그들의 분획물(수소를 첨가한 것인지에 상관없다)에서 만든 식용 조제품을 분류하는데, 이것은 유화ㆍ교반ㆍ구조의 조정 등에 의한 가공을 한 것이다. 이 호는 변성(modification)이 둘 이상의 지방이나 기름과 관련되는 경우에는 수소첨가ㆍ인터에스텔화(inter-esterified)ㆍ리에스텔화(re-esterified)ㆍ엘라이딘화한(elaidinised) 지방과 기름이나 그 분획물을 포함한다.”라고 설명하고 있음 ㅇ 또한, 관세법 제85조에 따른 품목분류의 적용기준에 관한 규칙(기획재정부령 제884호, 2021. 12. 31.) [별표] 제17호[비타민 E를 첨가한 동물성・식물성 지방이나 기름(유채유・땅콩기름・들기름・참기름은 제외한다)]에서는 비타민 E를 첨가한 동물성 지방이나 기름으로서 비타민 E가 전 중량의 100분의 0.5를 초과하는 경우 품목번호 제1517호 에 분류하고 있음 ㅇ 따라서, 본 물품은 에스테르화 및 리에스테르화한 어유(멸치)에 비타민 E(0.5% 초과), 비타민 D을 혼합·조제한 것이므로 관세율표 해석에 관한 통칙 제1호 및 제6호에 따라 제1517.90-9000호에 분류함"
0072025002283,품목분류사례,품목분류2과-3001,2025-05-29,1604169000,Anchovy preparation; MYNUTCHOS MALAYSIAN SPICED BITES; MIXED BAKED CASHEW NUTS AND ANCHOVIES,"멸치(전 중량의 100분의 20 초과), 캐슈넛, 고추, 커리잎을 건조하여 유탕처리한 후 시즈닝(물, 설탕, 소금, 간장, 팜유 등)을 혼합하여 구운 것을 수지제 봉지에 소매포장한 것(내용량: 100g) - 용도: 식용 ※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음.","ㅇ 관세율표 제1604호 에는 “조제하거나 보존처리한 어류, 캐비어, 어란(魚卵)으로 조제한 캐비어 대용물”이 분류되며, 소호 제1604.16호 에는 “멸치(원래 모양이나 토막낸 것으로 한정하며, 잘게 다진 것은 제외한다)”가 세분류됨 - 같은 호 HS해설서에서 “이 호에는 다음의 물품을 분류한다. (1) 끓이거나 증기로 찌거나ㆍ굽거나ㆍ튀기거나ㆍ볶거나 그 밖의 방법으로 조리된 어류 ; 그러나 훈제 이전이나 훈제할 때 조리된 훈제한 어류는 어떤 다른 방법으로 조제되지 않은 한 제0305호 에 분류한다는 것을 유의하여야 한다.”라고 설명하고 있음 ㅇ 관세율표 제16류 주 제2호에는 “이 류에 해당하는 조제 식료품은 소시지·육·설육(屑肉)·피·곤충·어류나 갑각류·연체동물·그 밖의 수생(水生) 무척추동물이나 이들 배합물의 함유량이 전 중량의 100분의 20을 초과하는 것으로 한정하며, 위에 열거한 물품을 두 가지 이상 함유하는 조제 식료품인 경우에는 중량이 큰 성분에 따라 제16류의 해당 호로 분류한다. 다만, 제1902호 의 속을 채운 물품, 제2103호 나 제2104호 의 조제품에는 이 규정을 적용하지 않는다.”라고 규정하고 있음 ㅇ 또한, 관세율표 제20류 주 제1호에는 “소시지‧육‧설육(屑肉)‧피‧곤충‧어류나 갑각류‧연체동물‧그 밖의 수생(水生) 무척추동물이나 그 배합물의 함유량이 전 중량의 100분의 20을 초과하는 조제 식료품(16류)”를 제외하도록 규정하고 있음 ㅇ 따라서, 본 물품은 상기의 물품설명과 같이 조제된 멸치 조제품이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제1604.16-9000호에 분류함"
0072024002281,품목분류사례,품목분류2과-5422,2024-07-12,2009892000,Galic juice concentrate,"마늘을 착즙하여 농축, 살균한 황색계 점조액상을 수지제 파우치에 소포장한 것 [분석결과는 제시된 시료 및 제출된 자료에 한함] - 용도: 식용(식품에 마늘맛 부여) ※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음.","ㅇ 관세율표 제2009호 는 “과실 주스(포도즙을 포함한다)와 채소 주스(설탕이나 그 밖의 감미료를 첨가했는지에 상관없으며 발효하지 않은 것으로 주정을 함유하지 않은 것으로 한정한다)”가 분류되며, - 같은 호 HS해설서에서 “이 호에 해당되는 주스는 농축(냉동한 것인지에 상관없다)되었거나 결정이나 가루 형태로 된 것도 있지만, 후자의 경우는 전부나 거의가 물에 녹일 수 있는 것으로 한정한다.”라고 설명하고 있음 ㅇ 따라서, 본 물품은 마늘을 착즙하여 농축, 살균한 마늘 농축주스이므로 관세율표 해석에 관한 통칙 제1호 및 제6호에 따라 제2009.89-2000호에 분류함"
0072022002592,품목분류사례,품목분류2과-18850,2022-08-03,2710129000,"Other light oil; N.A.RAFF, C6NA, C6 NON-ARO","ㅇ 나프타를 열분해하고 수소첨가 등의 공정을 거쳐서 얻은 C6~C8의 나프텐계 및 파라핀계 탄화수소 혼합물로 조성된 무색투명한 액상 [ASTM D86 방법에 의하여 210℃에서 90% 이상 증류, 비방향족 성분이 방향족 성분을 초과] - 용도: Cyclohexane, n-Hexane, Solvent 등 제조용 ※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음","ㅇ 관세율표 제2710호 는 “석유와 역청유(원유는 제외한다), 따로 분류되지 않은 조제품(석유나 역청유의 함유량이 전 중량의 100분의 70 이상인 것으로서 조제품의 기초 성분이 석유나 역청유인 것으로 한정한다), 웨이스트 오일(waste oil)”을 분류하며, 소호 제2710.12호 는 “경질유와 조제품”을 세분류함 ㅇ 관세율표 제27류 주 제2호에서 “ 제2710호 의 “석유와 역청유(瀝靑油)”에는 석유와 역청유(瀝靑油)뿐만 아니라 이와 유사한 오일과 혼합 불포화탄화수소를 주성분으로 하는 오일로서 그 제조방법과 관계없이 비방향족(非芳香族) 성분의 중량이 방향족(芳香族) 성분의 중량을 초과하는 것도 포함된다. 다만, 액체 상태의 합성폴리올레핀의 경우에는 섭씨 300도(감압증류법으로 증류한 경우에는 1,013밀리바로 환산한 온도)에서 유출된 용량이 전 용량의 100분의 60 미만인 것은 이 규정에서 제외한다(제39류).”라고 규정하고 있으며, - 같은 류 소호주 제4호에서 “소호 제2710.12호 에서 “경질유(輕質油)와 조제품”이란 아이ㆍ에스ㆍ오(ISO) 3405방법[에이ㆍ에스ㆍ티ㆍ엠 디(ASTM D) 86방법과 동등]에 의하여 섭씨 210도에서 전 용량의 100분의 90 이상(손실분을 포함한다)이 증류되는 것을 말한다.”라고 규정하고 있음 ㅇ 따라서, 본 물품은 C6~C8의 나프텐계 및 파라핀계 탄화수소 혼합물로 조성된 기타 경질유이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제2710.12-9000호에 분류함"
0072025000967,품목분류사례,품목분류2과-1300,2025-03-07,2842903000,Lithium phosphorus sulfide chloride; Sulfide solid electrolyte; S33,회백색계 분말 형태의 Lithium phosphorus sulfide chloride (CAS No. 2226787-94-4) - 용도 : 리튬 이차전지용 고체 전해질 ※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음,"ㅇ 관세율표 제2842호 에는 “그 밖의 무기산염이나 과산화산염[알루미노실리케이트(화학적으로 단일한 것인지에 상관없다)를 포함하며, 아지드화물은 제외한다]”을 분류하며, HSK 제2842.90-3000호에 “황을 함유하는 겹염이나 착염”을 세분류하고 있음 - 같은 호 HS해설서에서 “(Ⅱ) 겹염(double salt)과 착염(complex salt) : 이 류에는 겹염이나 착염을 분류하는데 다른 호에 명백히 분류하는 것은 제외한다. 이 호에 분류하는 주된 겹염이나 착염은 다음과 같다. … (C) 황을 함유하는 겹염이나 착염”이라고 설명하고 있음 ㅇ 따라서, 본 물품은 Li, P, S, Cl이 특정 비율로 결합하여 형성된 황을 함유하는 겹염이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제2842.90-3000호에 분류함"
0072026000918,품목분류사례,품목분류2과-1281,2026-02-26,3005109000,Other articles having an adhesive layer; FIXBAND-L,"ㅇ 상부는 넓고 일측이 길게 연장된 비대칭형의 부직포 일면에 접착성 물질을 도포 후 이형지를 부착하고, 반대편 모서리 끝부분에 흰색 직사각형 플라스틱 스트랩을 부착한 것을 비낼팩에 멸균 소매 포장한 것 - 용도 : 의료기기(카테터) 등을 인체에 고정 ※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음.","ㅇ 관세율표 제3005호 에는 “탈지면·거즈·붕대와 이와 유사한 제품(예: 피복재·반창고·습포제)으로서 내과용·외과용·치과용·수의과용으로 사용하기 위하여 의료물질을 도포하거나 침투시킨 것이나 소매용 모양이나 포장을 한 것”이 분류되며, 소호 제3005.10호 에 “접착성 피복재와 접착층을 갖는 그 밖의 물품”을 세분류하고 있음 - 같은 호 HS 해설서에서 “이 호에서는 방직용 섬유제·종이제·플라스틱제 등으로 된 탈지면·거즈·붕대 등 이와 유사한 물품으로서 내과용·외과용·치과용·수의과용으로 의료물질(항 자극제·방부제 등)을 도포하거나 침투시킨 것을 분류한다.”라고 하면서, “피복용의 탈지면과 거즈(보통 탈지된 면제의 것)와 붕대 등으로서 의료물질을 도포나 침투시키지 않은 것은, 재포장하지 않고 개인(private persons)·전문병원(clinics)·병원(hospitals) 등에 직접 소매판매하기 위한 모양이나 포장으로 되어 있고, 전적으로 내과용·외과용·치과용이나 수의과용으로 사용하도록 그들의 특성(롤 모양이나 접는 방식의 보호포장, 라벨링 상태 등으로 제시한다)에 의하여 식별될 수 있는 경우에 한하여 이 호에 분류한다.”고 설명하고 있음 ㅇ 따라서, 본 물품은 상기 물품설명과 같이 의료기기 등을 인체에 고정하기 위해 부직포 일면에 접착물질을 도포하여 멸균·소매포장한 물품이므로 관세율표 해석에 관한 통칙 제1호 및 제6호에 따라 제3005.10-9000호에 분류함"
